"id","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG_percent","3P","3PA","3P_percent","2P","2PA","2P_percent","eFG_percent","FT","FTA","FT_percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"319","Jamal Cain","SF","23","MIA","18","0","13.3","2.1","3.7","0.561","0.4","1.1","0.35","1.7","2.6","0.652","0.614","0.9","1.2","0.773","0.8","2.1","2.9","0.7","0.6","0.1","0.3","1.2","5.4"
"320","Kentavious Caldwell-Pope","SG","29","DEN","76","76","31.3","3.8","8.3","0.462","1.8","4.2","0.423","2.1","4.1","0.502","0.569","1.4","1.6","0.824","0.5","2.3","2.7","2.4","1.5","0.5","1.1","1.9","10.8"
"321","Facundo Campazzo","PG","31","DAL","8","0","6.5","0.4","1.6","0.231","0.4","1.4","0.273","0","0.3","0","0.346","0.1","0.3","0.5","0","0.3","0.3","1.1","0.8","0","0.4","0.4","1.3"
"322","Vlatko ?an?ar","PF","25","DEN","60","9","14.8","1.8","3.8","0.476","0.7","1.9","0.374","1.1","1.9","0.58","0.57","0.6","0.7","0.927","0.4","1.7","2.1","1.3","0.4","0.2","0.6","1.4","5"
"323","Clint Capela","C","28","ATL","65","63","26.6","5.4","8.2","0.653","0","0","0","5.4","8.2","0.654","0.653","1.2","2","0.603","4","7.1","11","0.9","0.7","1.2","0.8","2.1","12"
"324","Vernon Carey Jr.","C","21","WAS","11","0","2.5","0.2","0.7","0.25","0","0","0","0.2","0.7","0.25","0.25","0.2","0.2","1","0.3","0.7","1","0.3","0.2","0.2","0.2","0.5","0.5"
"325","Jevon Carter","PG","27","MIL","81","39","22.3","3","7","0.423","1.8","4.2","0.421","1.2","2.8","0.425","0.549","0.4","0.5","0.816","0.4","2.1","2.5","2.4","0.8","0.4","1","2","8"
"326","Wendell Carter Jr.","C","23","ORL","57","54","29.6","5.6","10.8","0.525","1.4","3.9","0.356","4.2","6.8","0.624","0.591","2.5","3.4","0.738","2.1","6.6","8.7","2.3","0.5","0.6","1.9","2.8","15.2"
"327","Michael Carter-Williams","PG","31","ORL","4","0","11","1.5","3.5","0.429","0.3","0.8","0.333","1.3","2.8","0.455","0.464","1","1.8","0.571","0.3","1","1.3","1.8","0.3","0.3","1","1.3","4.3"
"328","Alex Caruso","PG","28","CHI","67","36","23.5","1.9","4.3","0.455","0.8","2.3","0.364","1.1","2","0.556","0.551","0.9","1.1","0.808","0.6","2.3","2.9","2.9","1.5","0.7","1.1","2.4","5.6"
"329","Julian Champagnie","SF","21","TOT","17","3","18.8","3.5","7.6","0.454","1.9","4.8","0.402","1.5","2.8","0.542","0.581","0.8","1","0.824","0.6","2.9","3.5","0.6","0.4","0.3","0.6","1.5","9.7"
"330","Julian Champagnie","SF","21","PHI","2","0","3.5","0","1","0","0","0.5","0","0","0.5","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0"
"331","Julian Champagnie","SF","21","SAS","15","3","20.9","3.9","8.5","0.461","2.2","5.4","0.407","1.7","3.1","0.553","0.59","0.9","1.1","0.824","0.7","3.3","4","0.7","0.3","0.3","0.7","1.7","11"
"332","Justin Champagnie","SF","21","TOT","5","0","6.8","1","3","0.333","0.2","1","0.2","0.8","2","0.4","0.367","0","0","0","0.6","1","1.6","0.8","0.2","0","0","0.4","2.2"
"333","Justin Champagnie","SF","21","TOR","3","0","3.7","1","1","1","0","0","0","1","1","1","1","0","0","0","0.3","1","1.3","0.3","0","0","0","0.3","2"
"334","Justin Champagnie","SF","21","BOS","2","0","11.5","1","6","0.167","0.5","2.5","0.2","0.5","3.5","0.143","0.208","0","0","0","1","1","2","1.5","0.5","0","0","0.5","2.5"
"335","Kennedy Chandler","PG","20","MEM","36","0","7.8","1","2.3","0.422","0.1","0.4","0.133","0.9","1.9","0.485","0.434","0.2","0.4","0.462","0.3","0.8","1.1","1.6","0.3","0.1","0.5","0.4","2.2"
"336","Max Christie","SG","19","LAL","41","3","12.5","1.1","2.6","0.415","0.6","1.5","0.419","0.4","1.1","0.409","0.538","0.3","0.4","0.875","0.2","1.7","1.8","0.5","0.2","0.2","0.3","0.8","3.1"
"337","Josh Christopher","SG","21","HOU","64","2","12.3","2.4","5.1","0.465","0.3","1.4","0.236","2.1","3.8","0.55","0.497","0.7","0.9","0.75","0.3","0.8","1.1","1.1","0.5","0.2","0.9","0.9","5.8"
"338","Brandon Clarke","PF","26","MEM","56","8","19.5","4.1","6.2","0.656","0","0.1","0.167","4.1","6.1","0.665","0.658","1.8","2.4","0.723","1.6","3.9","5.5","1.3","0.6","0.7","1","2.3","10"
"339","Jordan Clarkson","SG","30","UTA","61","61","32.6","7.5","16.9","0.444","2.5","7.5","0.338","5","9.4","0.53","0.519","3.3","4","0.816","1.2","2.9","4","4.4","0.5","0.2","3","2","20.8"
"340","Nic Claxton","C","23","BRK","76","76","29.9","5.4","7.7","0.705","0","0","0","5.4","7.7","0.708","0.705","1.8","3.2","0.541","2.4","6.8","9.2","1.9","0.9","2.5","1.3","2.8","12.6"
"341","Amir Coffey","SG","25","LAC","50","9","12.5","1.1","2.9","0.386","0.2","0.8","0.275","0.9","2.1","0.429","0.424","1","1.3","0.778","0.3","0.7","1.1","1.1","0.1","0.1","0.4","1","3.4"
"342","John Collins","PF","25","ATL","71","71","30","5.1","10","0.508","1","3.4","0.292","4.1","6.6","0.619","0.557","2","2.5","0.803","1.1","5.4","6.5","1.2","0.6","1","1.1","3.1","13.1"
"343","Zach Collins","C","25","SAS","63","26","22.9","4.5","8.7","0.518","0.9","2.3","0.374","3.6","6.4","0.571","0.568","1.7","2.3","0.761","1.8","4.5","6.4","2.9","0.6","0.8","2","3.2","11.6"
"344","Chance Comanche","C","26","POR","1","0","21","3","5","0.6","0","0","0","3","5","0.6","0.6","1","4","0.25","2","1","3","0","0","1","0","0","7"
"345","Mike Conley","PG","35","TOT","67","66","30.3","3.9","9.1","0.428","2","5.2","0.385","1.9","3.9","0.486","0.539","2.1","2.5","0.834","0.5","2.2","2.7","6.7","1.1","0.2","1.5","2.1","11.9"
"346","Mike Conley","PG","35","UTA","43","42","29.7","3.6","8.7","0.408","1.8","5","0.362","1.8","3.8","0.469","0.511","1.8","2.2","0.813","0.4","2.1","2.5","7.7","1","0.2","1.7","2.2","10.7"
"347","Mike Conley","PG","35","MIN","24","24","31.4","4.5","9.8","0.46","2.4","5.8","0.42","2.1","4","0.515","0.583","2.6","3","0.863","0.7","2.5","3.1","5","1.2","0.2","1.2","1.9","14"
"348","Pat Connaughton","SG","30","MIL","61","33","23.7","2.7","6.9","0.392","1.8","5.3","0.339","0.9","1.6","0.566","0.521","0.4","0.7","0.659","0.8","3.8","4.6","1.3","0.6","0.2","0.5","1.1","7.6"
"349","Xavier Cooks","PF","27","WAS","10","1","12.6","1.7","2.8","0.607","0","0.1","0","1.7","2.7","0.63","0.607","0.4","1","0.4","1.6","2.2","3.8","0.6","0.6","0.4","0.8","1.3","3.8"
"350","Robert Covington","PF","32","LAC","48","0","16.2","2.1","4.8","0.445","1.1","2.8","0.397","1","1.9","0.516","0.563","0.6","0.8","0.75","0.6","2.8","3.5","1.2","0.8","0.7","0.7","1.8","6"
"351","Torrey Craig","SF","32","PHO","79","60","24.7","2.9","6.3","0.456","1.3","3.2","0.395","1.6","3.1","0.518","0.556","0.4","0.6","0.711","1.8","3.6","5.4","1.5","0.6","0.8","0.9","2.3","7.4"
"352","Jae Crowder","SF","32","MIL","18","3","18.9","2.5","5.2","0.479","1.3","3.1","0.436","1.2","2.2","0.538","0.606","0.6","0.7","0.833","0.9","2.9","3.8","1.5","0.7","0.3","0.4","1.5","6.9"
"353","Jarrett Culver","SG","23","ATL","10","1","13.7","1.7","4.3","0.395","0.1","1.2","0.083","1.6","3.1","0.516","0.407","0.9","1.3","0.692","1","2.8","3.8","0.6","0.6","0.2","0.7","1.4","4.4"
"354","Cade Cunningham","PG","21","DET","12","12","33.3","7.8","18.7","0.415","1.4","5.1","0.279","6.3","13.6","0.466","0.453","3","3.6","0.837","1","5.2","6.2","6","0.8","0.6","3.3","2.8","19.9"
"355","Seth Curry","SG","32","BRK","61","7","19.9","3.4","7.4","0.463","1.5","3.8","0.405","1.9","3.6","0.525","0.568","0.8","0.9","0.927","0.2","1.4","1.6","1.6","0.6","0.1","0.8","1.6","9.2"
"356","Stephen Curry","PG","34","GSW","56","56","34.7","10","20.2","0.493","4.9","11.4","0.427","5.1","8.8","0.579","0.614","4.6","5","0.915","0.7","5.4","6.1","6.3","0.9","0.4","3.2","2.1","29.4"
"357","Dyson Daniels","PG","19","NOP","59","11","17.7","1.5","3.5","0.418","0.5","1.5","0.314","1","2.1","0.492","0.483","0.4","0.7","0.65","0.6","2.6","3.2","2.3","0.7","0.2","1","1.7","3.8"
"358","Anthony Davis","C","29","LAL","56","54","34","9.7","17.2","0.563","0.3","1.3","0.257","9.3","15.9","0.589","0.573","6.2","7.9","0.784","3.5","9.1","12.5","2.6","1.1","2","2.2","2.6","25.9"
"359","Johnny Davis","SG","20","WAS","28","5","15.1","2.4","6.1","0.386","0.6","2.5","0.243","1.8","3.6","0.485","0.436","0.5","1","0.519","0.4","2","2.3","1","0.4","0.3","0.6","1.7","5.8"
"360","Terence Davis","SG","25","SAC","64","5","13.1","2.4","5.7","0.423","1.4","3.8","0.366","1","1.9","0.537","0.545","0.5","0.7","0.791","0.3","1.9","2.2","1","0.7","0.2","0.8","1.6","6.7"
"361","JD Davison","PG","20","BOS","12","0","5.5","0.7","1.6","0.421","0.2","0.6","0.286","0.5","1","0.5","0.474","0.1","0.2","0.5","0.2","0.6","0.8","0.9","0.2","0.2","0.3","0.4","1.6"
"362","Darius Days","PF","23","HOU","4","0","6.3","1.3","3","0.417","0.8","2.5","0.3","0.5","0.5","1","0.542","0.5","0.5","1","0.3","1.3","1.5","0.3","0","0.3","0","0.5","3.8"
"363","Dewayne Dedmon","C","33","TOT","38","1","11.2","2","4","0.51","0.3","1","0.308","1.7","2.9","0.58","0.55","0.9","1.3","0.673","0.9","2.6","3.5","0.7","0.2","0.5","0.7","2","5.2"
"364","Dewayne Dedmon","C","33","MIA","30","0","11.7","2.1","4.3","0.496","0.4","1.2","0.297","1.8","3.1","0.576","0.539","1.1","1.5","0.727","0.9","2.7","3.6","0.5","0.2","0.5","0.6","2","5.7"
"365","Dewayne Dedmon","C","33","PHI","8","1","9.5","1.6","2.8","0.591","0.1","0.3","0.5","1.5","2.5","0.6","0.614","0.1","0.6","0.2","0.8","2.4","3.1","1.3","0.3","0.6","0.8","1.8","3.5"
"366","Matthew Dellavedova","PG","32","SAC","32","0","6.7","0.5","1.6","0.34","0.3","0.8","0.333","0.3","0.7","0.348","0.43","0.1","0.2","0.571","0","0.4","0.4","1.3","0.2","0","0.3","0.6","1.5"
"367","DeMar DeRozan","SF","33","CHI","74","74","36.2","8.9","17.6","0.504","0.6","1.9","0.324","8.3","15.7","0.526","0.522","6.2","7.1","0.872","0.5","4.2","4.6","5.1","1.1","0.5","2.1","2.5","24.5"
