"id","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG_percent","3P","3PA","3P_percent","2P","2PA","2P_percent","eFG_percent","FT","FTA","FT_percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"224","Nickeil Alexander-Walker","SG","24","MIN","23","0","15.5","2.1","5.4","0.384","1.1","3.1","0.361","1","2.3","0.415","0.488","0.6","0.9","0.619","0.3","1.5","1.8","1.4","0.3","0.3","0.4","1.3","5.9"
"225","Grayson Allen","SG","27","MIL","72","70","27.4","3.4","7.7","0.44","2","5.1","0.399","1.4","2.7","0.518","0.571","1.6","1.8","0.905","0.8","2.4","3.3","2.3","0.9","0.2","1","1.6","10.4"
"226","Jarrett Allen","C","24","CLE","68","68","32.6","5.9","9.2","0.644","0","0.1","0.1","5.9","9.1","0.653","0.645","2.4","3.3","0.733","3.3","6.5","9.8","1.7","0.8","1.2","1.4","2.3","14.3"
"227","Jose Alvarado","PG","24","NOP","61","10","21.5","3.3","8","0.411","1.4","4","0.336","1.9","4","0.488","0.496","1.1","1.3","0.813","0.5","1.9","2.3","3","1.1","0.2","1.3","2","9"
"228","Kyle Anderson","PF","29","MIN","69","46","28.4","3.7","7.2","0.509","0.6","1.5","0.41","3","5.7","0.536","0.553","1.4","2","0.735","1","4.4","5.3","4.9","1.1","0.9","1.5","2.1","9.4"
"229","Giannis Antetokounmpo","PF","28","MIL","63","63","32.1","11.2","20.3","0.553","0.7","2.7","0.275","10.5","17.6","0.596","0.572","7.9","12.3","0.645","2.2","9.6","11.8","5.7","0.8","0.8","3.9","3.1","31.1"
"230","Thanasis Antetokounmpo","SF","30","MIL","37","0","5.6","0.5","1.2","0.435","0","0.2","0","0.5","1","0.526","0.435","0.3","0.6","0.5","0.4","0.8","1.2","0.4","0.1","0.1","0.3","0.6","1.4"
"231","Cole Anthony","PG","22","ORL","60","4","25.9","4.6","10.2","0.454","1.3","3.4","0.364","3.4","6.7","0.5","0.516","2.5","2.8","0.894","0.8","4","4.8","3.9","0.6","0.5","1.5","2.6","13"
"232","OG Anunoby","SF","25","TOR","67","67","35.6","6.3","13.2","0.476","2.1","5.5","0.387","4.2","7.7","0.539","0.556","2.1","2.5","0.838","1.4","3.5","5","2","1.9","0.7","2","3","16.8"
"233","Ryan Arcidiacono","PG","28","TOT","20","4","8.6","0.5","1.9","0.243","0.4","1.2","0.348","0.1","0.7","0.071","0.351","0","0","0","0","0.8","0.8","1.2","0.3","0","0.4","0.9","1.3"
"234","Ryan Arcidiacono","PG","28","NYK","11","0","2.4","0.1","0.5","0.2","0.1","0.3","0.333","0","0.2","0","0.3","0","0","0","0","0.4","0.4","0.2","0.2","0","0.1","0.3","0.3"
"235","Ryan Arcidiacono","PG","28","POR","9","4","16.2","0.9","3.6","0.25","0.8","2.2","0.35","0.1","1.3","0.083","0.359","0","0","0","0","1.2","1.2","2.3","0.3","0","0.7","1.6","2.6"
